city,sizing_contract_city_ddy,metric,policy,value_city_ddy,lower_is_preferred_city_ddy,rank_city_ddy,sizing_contract_accepted_denver,value_accepted_denver,lower_is_preferred_accepted_denver,rank_accepted_denver,rank_change_city_ddy_minus_denver,rank_changed
Phoenix,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_26c,adaptive_band,335.962151513,True,2,accepted_denver,684.259715539,True,1,1,True
Phoenix,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_26c,fixed,301.823175346,True,1,accepted_denver,699.595338327,True,3,-2,True
Phoenix,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_26c,learned_p90,360.05404908,True,3,accepted_denver,684.544985852,True,2,1,True
Phoenix,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_26c,pmv,360.127889678,True,4,accepted_denver,702.423268894,True,4,0,False
Phoenix,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_28c,adaptive_band,85.4253862603,True,4,accepted_denver,364.624674432,True,1,3,True
Phoenix,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_28c,fixed,80.8821155266,True,3,accepted_denver,379.595338327,True,3,0,False
Phoenix,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_28c,learned_p90,78.3851452783,True,2,accepted_denver,364.915209545,True,2,0,False
Phoenix,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_28c,pmv,78.1018320047,True,1,accepted_denver,382.519674872,True,4,-3,True
Phoenix,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_30c,adaptive_band,8.2566508663,True,4,accepted_denver,109.541337983,True,1,3,True
Phoenix,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_30c,fixed,6.84144919027,True,3,accepted_denver,112.581440067,True,3,0,False
Phoenix,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_30c,learned_p90,6.48446244175,True,2,accepted_denver,111.747118541,True,2,0,False
Phoenix,city_ddy,extreme_336h_occupied_worst_zone_degree_hours_above_30c,pmv,6.17244643323,True,1,accepted_denver,115.536841647,True,4,-3,True
Phoenix,city_ddy,facility_occupied_cooling_setpoint_not_met_h,adaptive_band,1517.25,True,3,accepted_denver,2413.25,True,3,0,False
Phoenix,city_ddy,facility_occupied_cooling_setpoint_not_met_h,fixed,2188.25,True,4,accepted_denver,3087.25,True,4,0,False
Phoenix,city_ddy,facility_occupied_cooling_setpoint_not_met_h,learned_p90,1267.25,True,2,accepted_denver,2224.25,True,1,1,True
Phoenix,city_ddy,facility_occupied_cooling_setpoint_not_met_h,pmv,1256.75,True,1,accepted_denver,2260.5,True,2,-1,True
Phoenix,city_ddy,facility_occupied_heating_setpoint_not_met_h,adaptive_band,0,True,1,accepted_denver,0,True,1,0,False
Phoenix,city_ddy,facility_occupied_heating_setpoint_not_met_h,fixed,14.75,True,4,accepted_denver,17,True,3,1,True
Phoenix,city_ddy,facility_occupied_heating_setpoint_not_met_h,learned_p90,0,True,1,accepted_denver,0,True,1,0,False
Phoenix,city_ddy,facility_occupied_heating_setpoint_not_met_h,pmv,14.5,True,3,accepted_denver,18,True,4,-1,True
Phoenix,city_ddy,cooling_occupied_unmet_degree_hours_sum,adaptive_band,8145.59,True,3,accepted_denver,26869.46,True,1,2,True
Phoenix,city_ddy,cooling_occupied_unmet_degree_hours_sum,fixed,14640.26,True,4,accepted_denver,58856.86,True,4,0,False
Phoenix,city_ddy,cooling_occupied_unmet_degree_hours_sum,learned_p90,6075.29,True,1,accepted_denver,27003.9,True,2,-1,True
Phoenix,city_ddy,cooling_occupied_unmet_degree_hours_sum,pmv,6372,True,2,accepted_denver,41481.82,True,3,-1,True
Phoenix,city_ddy,heating_occupied_unmet_degree_hours_sum,adaptive_band,0,True,1,accepted_denver,0,True,1,0,False
Phoenix,city_ddy,heating_occupied_unmet_degree_hours_sum,fixed,18.37,True,3,accepted_denver,22.31,True,3,0,False
Phoenix,city_ddy,heating_occupied_unmet_degree_hours_sum,learned_p90,0,True,1,accepted_denver,0,True,1,0,False
Phoenix,city_ddy,heating_occupied_unmet_degree_hours_sum,pmv,22.12,True,4,accepted_denver,23.68,True,4,0,False
