controller,aggregation,tail_threshold,asym_threshold,dwell_minutes,occupied_records,request_records,request_share_pct,warm_request_share_pct,applied_actions,actions_per_occupied_day,blocked_by_dwell,blocked_by_bounds,reversals_within_2h,min_offset_c,max_offset_c,mean_signal_p_tail,p95_signal_p_tail,high_tail_share_pct
total_tail_mu,max,0.3,0.1,60,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,1,3599,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
total_tail_mu,max,0.3,0.1,120,16704,3604,21.575670498084293,100.0,4,0.022988505747126436,5,3595,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
tail_asym,max,0.1,0.05,0,16704,8981,53.76556513409962,98.63044204431577,120,0.6896551724137931,0,8861,2,-2.0,2.0,0.18415427831288092,0.4244617555051217,53.23874521072797
tail_asym,max,0.1,0.05,60,16704,8981,53.76556513409962,98.63044204431577,78,0.4482758620689655,127,8776,3,-2.0,2.0,0.18415427831288092,0.4244617555051217,53.23874521072797
tail_asym,max,0.1,0.05,120,16704,8981,53.76556513409962,98.63044204431577,64,0.367816091954023,185,8732,1,-2.0,2.0,0.18415427831288092,0.4244617555051217,53.23874521072797
tail_asym,max,0.1,0.1,0,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,0,7471,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,53.23874521072797
tail_asym,max,0.1,0.1,60,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,9,7462,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,53.23874521072797
tail_asym,max,0.1,0.1,120,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,15,7456,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,53.23874521072797
tail_asym,max,0.2,0.05,0,16704,8981,53.76556513409962,98.63044204431577,120,0.6896551724137931,0,8861,2,-2.0,2.0,0.18415427831288092,0.4244617555051217,38.05675287356322
tail_asym,max,0.2,0.05,60,16704,8981,53.76556513409962,98.63044204431577,78,0.4482758620689655,127,8776,3,-2.0,2.0,0.18415427831288092,0.4244617555051217,38.05675287356322
tail_asym,max,0.2,0.05,120,16704,8981,53.76556513409962,98.63044204431577,64,0.367816091954023,185,8732,1,-2.0,2.0,0.18415427831288092,0.4244617555051217,38.05675287356322
tail_asym,max,0.2,0.1,0,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,0,7471,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
tail_asym,max,0.2,0.1,60,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,9,7462,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
tail_asym,max,0.2,0.1,120,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,15,7456,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,38.05675287356322
tail_asym,max,0.3,0.05,0,16704,8981,53.76556513409962,98.63044204431577,120,0.6896551724137931,0,8861,2,-2.0,2.0,0.18415427831288092,0.4244617555051217,21.575670498084293
tail_asym,max,0.3,0.05,60,16704,8981,53.76556513409962,98.63044204431577,78,0.4482758620689655,127,8776,3,-2.0,2.0,0.18415427831288092,0.4244617555051217,21.575670498084293
tail_asym,max,0.3,0.05,120,16704,8981,53.76556513409962,98.63044204431577,64,0.367816091954023,185,8732,1,-2.0,2.0,0.18415427831288092,0.4244617555051217,21.575670498084293
tail_asym,max,0.3,0.1,0,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,0,7471,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
tail_asym,max,0.3,0.1,60,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,9,7462,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
tail_asym,max,0.3,0.1,120,16704,7475,44.74976053639847,100.0,4,0.022988505747126436,15,7456,0,-2.0,0.0,0.18415427831288092,0.4244617555051217,21.575670498084293
